tissue_sample_id,communication_celltype,n_cells,dataset,donor,donor_ID,status,n_total_cells,n_tissue_samples_same_donor_status,fraction,meets_min_cells,coverage_status
"GSE134809::GSM3972010::Non-inflamed","Plasma::IgA plasma",4541,"GSE134809","GSM3972010","GSE134809::GSM3972010","Non-inflamed",6949,1,0.653475320189955,TRUE,"adequate_cell_count"
"GSE134809::GSM3972010::Non-inflamed","Plasma::IgG plasma",105,"GSE134809","GSM3972010","GSE134809::GSM3972010","Non-inflamed",6949,1,0.0151100877824147,TRUE,"adequate_cell_count"
"GSE134809::GSM3972010::Non-inflamed","Plasma::Transitional B",9,"GSE134809","GSM3972010","GSE134809::GSM3972010","Non-inflamed",6949,1,0.00129515038134983,FALSE,"low_cell_count"
"GSE134809::GSM3972010::Non-inflamed","T_NK",1257,"GSE134809","GSM3972010","GSE134809::GSM3972010","Non-inflamed",6949,1,0.180889336595194,TRUE,"adequate_cell_count"
"GSE134809::GSM3972011::Inflamed","B_cell::ActB3",1,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0.00109529025191676,FALSE,"low_cell_count"
"GSE134809::GSM3972011::Inflamed","B_cell::CSM",5,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0.00547645125958379,FALSE,"low_cell_count"
"GSE134809::GSM3972011::Inflamed","B_cell::Centroblast B",0,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0,FALSE,"absent_zero_cells"
"GSE134809::GSM3972011::Inflamed","B_cell::Centrocyte B",0,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0,FALSE,"absent_zero_cells"
"GSE134809::GSM3972011::Inflamed","B_cell::DN2",3,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0.00328587075575027,FALSE,"low_cell_count"
"GSE134809::GSM3972011::Inflamed","B_cell::IgM-only",0,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0,FALSE,"absent_zero_cells"
"GSE134809::GSM3972011::Inflamed","B_cell::MZ",0,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0,FALSE,"absent_zero_cells"
"GSE134809::GSM3972011::Inflamed","B_cell::Naïve B",0,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0,FALSE,"absent_zero_cells"
"GSE134809::GSM3972011::Inflamed","Endothelial",2,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0.00219058050383352,FALSE,"low_cell_count"
"GSE134809::GSM3972011::Inflamed","Epithelial",485,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0.531215772179628,TRUE,"adequate_cell_count"
"GSE134809::GSM3972011::Inflamed","Mast",42,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0.0460021905805038,TRUE,"adequate_cell_count"
"GSE134809::GSM3972011::Inflamed","Mesenchymal_stromal",6,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0.00657174151150055,FALSE,"low_cell_count"
"GSE134809::GSM3972011::Inflamed","Myeloid",41,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0.0449069003285871,TRUE,"adequate_cell_count"
"GSE134809::GSM3972011::Inflamed","Plasma::Activated plasma",54,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0.0591456736035049,TRUE,"adequate_cell_count"
"GSE134809::GSM3972011::Inflamed","Plasma::IgA plasma",72,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0.0788608981380066,TRUE,"adequate_cell_count"
"GSE134809::GSM3972011::Inflamed","Plasma::IgG plasma",3,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0.00328587075575027,FALSE,"low_cell_count"
"GSE134809::GSM3972011::Inflamed","Plasma::Transitional B",0,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0,FALSE,"absent_zero_cells"
"GSE134809::GSM3972011::Inflamed","T_NK",199,"GSE134809","GSM3972011","GSE134809::GSM3972011","Inflamed",913,1,0.217962760131435,TRUE,"adequate_cell_count"
"GSE134809::GSM3972012::Non-inflamed","B_cell::ActB3",0,"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed",1223,1,0,FALSE,"absent_zero_cells"
"GSE134809::GSM3972012::Non-inflamed","B_cell::CSM",0,"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed",1223,1,0,FALSE,"absent_zero_cells"
"GSE134809::GSM3972012::Non-inflamed","B_cell::Centroblast B",0,"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed",1223,1,0,FALSE,"absent_zero_cells"
"GSE134809::GSM3972012::Non-inflamed","B_cell::Centrocyte B",0,"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed",1223,1,0,FALSE,"absent_zero_cells"
"GSE134809::GSM3972012::Non-inflamed","B_cell::DN2",0,"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed",1223,1,0,FALSE,"absent_zero_cells"
"GSE134809::GSM3972012::Non-inflamed","B_cell::IgM-only",0,"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed",1223,1,0,FALSE,"absent_zero_cells"
"GSE134809::GSM3972012::Non-inflamed","B_cell::MZ",0,"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed",1223,1,0,FALSE,"absent_zero_cells"
"GSE134809::GSM3972012::Non-inflamed","B_cell::Naïve B",2,"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed",1223,1,0.00163532297628782,FALSE,"low_cell_count"
"GSE134809::GSM3972012::Non-inflamed","Endothelial",0,"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed",1223,1,0,FALSE,"absent_zero_cells"
"GSE134809::GSM3972012::Non-inflamed","Epithelial",1036,"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed",1223,1,0.847097301717089,TRUE,"adequate_cell_count"
"GSE134809::GSM3972012::Non-inflamed","Mast",7,"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed",1223,1,0.00572363041700736,FALSE,"low_cell_count"
"GSE134809::GSM3972012::Non-inflamed","Mesenchymal_stromal",1,"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed",1223,1,0.000817661488143908,FALSE,"low_cell_count"
"GSE134809::GSM3972012::Non-inflamed","Myeloid",10,"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed",1223,1,0.00817661488143908,FALSE,"low_cell_count"
"GSE134809::GSM3972012::Non-inflamed","Plasma::Activated plasma",11,"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed",1223,1,0.00899427636958299,FALSE,"low_cell_count"
"GSE134809::GSM3972012::Non-inflamed","Plasma::IgA plasma",33,"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed",1223,1,0.026982829108749,TRUE,"adequate_cell_count"
"GSE134809::GSM3972012::Non-inflamed","Plasma::IgG plasma",3,"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed",1223,1,0.00245298446443173,FALSE,"low_cell_count"
"GSE134809::GSM3972012::Non-inflamed","Plasma::Transitional B",0,"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed",1223,1,0,FALSE,"absent_zero_cells"
"GSE134809::GSM3972012::Non-inflamed","T_NK",120,"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed",1223,1,0.098119378577269,TRUE,"adequate_cell_count"
"GSE134809::GSM3972013::Inflamed","B_cell::ActB3",14,"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed",2601,1,0.00538254517493272,FALSE,"low_cell_count"
"GSE134809::GSM3972013::Inflamed","B_cell::CSM",186,"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed",2601,1,0.0715109573241061,TRUE,"adequate_cell_count"
"GSE134809::GSM3972013::Inflamed","B_cell::Centroblast B",18,"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed",2601,1,0.0069204152249135,FALSE,"low_cell_count"
"GSE134809::GSM3972013::Inflamed","B_cell::Centrocyte B",2,"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed",2601,1,0.000768935024990388,FALSE,"low_cell_count"
"GSE134809::GSM3972013::Inflamed","B_cell::DN2",23,"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed",2601,1,0.00884275278738947,TRUE,"adequate_cell_count"
"GSE134809::GSM3972013::Inflamed","B_cell::IgM-only",45,"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed",2601,1,0.0173010380622837,TRUE,"adequate_cell_count"
