dataset,sender,receiver,contrast,reference,target,n_reference_donors,n_target_donors,n_paired_donors,n_reference_only,n_target_only,both_groups_present
"GSE134809","Mast","B_cell::Centroblast B","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,1,0,0,1,FALSE
"GSE134809","Mast","B_cell::Centroblast B","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","Mast","B_cell::Centrocyte B","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mast","B_cell::Centrocyte B","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mast","B_cell::Centrocyte B","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","Mast","B_cell::Centrocyte B","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",1,1,0,1,1,TRUE
"GSE134809","Mast","B_cell::Centrocyte B","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","Mast","B_cell::DN2","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mast","B_cell::DN2","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mast","B_cell::DN2","Inflamed_minus_Control","Control","Inflamed",0,2,0,0,2,FALSE
"GSE134809","Mast","B_cell::DN2","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,2,0,0,2,FALSE
"GSE134809","Mast","B_cell::DN2","Stricture_minus_Inflamed","Inflamed","Stricture",2,0,0,2,0,FALSE
"GSE134809","Mast","B_cell::IgM-only","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mast","B_cell::IgM-only","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mast","B_cell::IgM-only","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","Mast","B_cell::IgM-only","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,1,0,0,1,FALSE
"GSE134809","Mast","B_cell::IgM-only","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","Mast","B_cell::MZ","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mast","B_cell::MZ","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mast","B_cell::MZ","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","Mast","B_cell::MZ","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,1,0,0,1,FALSE
"GSE134809","Mast","B_cell::MZ","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","Mast","B_cell::Naïve B","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mast","B_cell::Naïve B","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mast","B_cell::Naïve B","Inflamed_minus_Control","Control","Inflamed",0,2,0,0,2,FALSE
"GSE134809","Mast","B_cell::Naïve B","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",3,2,0,3,2,TRUE
"GSE134809","Mast","B_cell::Naïve B","Stricture_minus_Inflamed","Inflamed","Stricture",2,0,0,2,0,FALSE
"GSE134809","Mast","Plasma::Activated plasma","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mast","Plasma::Activated plasma","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mast","Plasma::Activated plasma","Inflamed_minus_Control","Control","Inflamed",0,4,0,0,4,FALSE
"GSE134809","Mast","Plasma::Activated plasma","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",4,4,0,4,4,TRUE
"GSE134809","Mast","Plasma::Activated plasma","Stricture_minus_Inflamed","Inflamed","Stricture",4,0,0,4,0,FALSE
"GSE134809","Mast","Plasma::IgA plasma","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mast","Plasma::IgA plasma","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mast","Plasma::IgA plasma","Inflamed_minus_Control","Control","Inflamed",0,4,0,0,4,FALSE
"GSE134809","Mast","Plasma::IgA plasma","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",5,4,0,5,4,TRUE
"GSE134809","Mast","Plasma::IgA plasma","Stricture_minus_Inflamed","Inflamed","Stricture",4,0,0,4,0,FALSE
"GSE134809","Mast","Plasma::IgG plasma","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mast","Plasma::IgG plasma","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mast","Plasma::IgG plasma","Inflamed_minus_Control","Control","Inflamed",0,3,0,0,3,FALSE
"GSE134809","Mast","Plasma::IgG plasma","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",2,3,0,2,3,TRUE
"GSE134809","Mast","Plasma::IgG plasma","Stricture_minus_Inflamed","Inflamed","Stricture",3,0,0,3,0,FALSE
"GSE134809","Mast","Plasma::Transitional B","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mast","Plasma::Transitional B","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mast","Plasma::Transitional B","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","Mast","Plasma::Transitional B","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,1,0,0,1,FALSE
"GSE134809","Mast","Plasma::Transitional B","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::ActB3","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::ActB3","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::ActB3","Inflamed_minus_Control","Control","Inflamed",0,5,0,0,5,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::ActB3","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,5,0,0,5,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::ActB3","Stricture_minus_Inflamed","Inflamed","Stricture",5,0,0,5,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::CSM","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::CSM","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::CSM","Inflamed_minus_Control","Control","Inflamed",0,10,0,0,10,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::CSM","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",9,10,0,9,10,TRUE
"GSE134809","Mesenchymal_stromal","B_cell::CSM","Stricture_minus_Inflamed","Inflamed","Stricture",10,0,0,10,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::Centroblast B","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::Centroblast B","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::Centroblast B","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::Centroblast B","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,1,0,0,1,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::Centroblast B","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::Centrocyte B","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::Centrocyte B","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::Centrocyte B","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::Centrocyte B","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",1,1,0,1,1,TRUE
"GSE134809","Mesenchymal_stromal","B_cell::Centrocyte B","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::DN2","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::DN2","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::DN2","Inflamed_minus_Control","Control","Inflamed",0,5,0,0,5,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::DN2","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",1,5,0,1,5,TRUE
"GSE134809","Mesenchymal_stromal","B_cell::DN2","Stricture_minus_Inflamed","Inflamed","Stricture",5,0,0,5,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::IgM-only","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::IgM-only","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::IgM-only","Inflamed_minus_Control","Control","Inflamed",0,3,0,0,3,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::IgM-only","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,3,0,0,3,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::IgM-only","Stricture_minus_Inflamed","Inflamed","Stricture",3,0,0,3,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::MZ","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::MZ","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::MZ","Inflamed_minus_Control","Control","Inflamed",0,2,0,0,2,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::MZ","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,2,0,0,2,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::MZ","Stricture_minus_Inflamed","Inflamed","Stricture",2,0,0,2,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::Naïve B","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::Naïve B","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::Naïve B","Inflamed_minus_Control","Control","Inflamed",0,9,0,0,9,FALSE
"GSE134809","Mesenchymal_stromal","B_cell::Naïve B","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",5,9,0,5,9,TRUE
"GSE134809","Mesenchymal_stromal","B_cell::Naïve B","Stricture_minus_Inflamed","Inflamed","Stricture",9,0,0,9,0,FALSE
"GSE134809","Mesenchymal_stromal","Plasma::Activated plasma","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","Plasma::Activated plasma","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","Plasma::Activated plasma","Inflamed_minus_Control","Control","Inflamed",0,8,0,0,8,FALSE
"GSE134809","Mesenchymal_stromal","Plasma::Activated plasma","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",7,8,0,7,8,TRUE
"GSE134809","Mesenchymal_stromal","Plasma::Activated plasma","Stricture_minus_Inflamed","Inflamed","Stricture",8,0,0,8,0,FALSE
"GSE134809","Mesenchymal_stromal","Plasma::IgA plasma","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","Plasma::IgA plasma","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","Plasma::IgA plasma","Inflamed_minus_Control","Control","Inflamed",0,10,0,0,10,FALSE
"GSE134809","Mesenchymal_stromal","Plasma::IgA plasma","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",9,10,0,9,10,TRUE
"GSE134809","Mesenchymal_stromal","Plasma::IgA plasma","Stricture_minus_Inflamed","Inflamed","Stricture",10,0,0,10,0,FALSE
"GSE134809","Mesenchymal_stromal","Plasma::IgG plasma","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","Plasma::IgG plasma","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","Plasma::IgG plasma","Inflamed_minus_Control","Control","Inflamed",0,8,0,0,8,FALSE
"GSE134809","Mesenchymal_stromal","Plasma::IgG plasma","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",3,8,0,3,8,TRUE
"GSE134809","Mesenchymal_stromal","Plasma::IgG plasma","Stricture_minus_Inflamed","Inflamed","Stricture",8,0,0,8,0,FALSE
"GSE134809","Mesenchymal_stromal","Plasma::Transitional B","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","Plasma::Transitional B","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Mesenchymal_stromal","Plasma::Transitional B","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","Mesenchymal_stromal","Plasma::Transitional B","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,1,0,0,1,FALSE
"GSE134809","Mesenchymal_stromal","Plasma::Transitional B","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","Myeloid","B_cell::ActB3","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","B_cell::ActB3","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","B_cell::ActB3","Inflamed_minus_Control","Control","Inflamed",0,5,0,0,5,FALSE
"GSE134809","Myeloid","B_cell::ActB3","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,5,0,0,5,FALSE
"GSE134809","Myeloid","B_cell::ActB3","Stricture_minus_Inflamed","Inflamed","Stricture",5,0,0,5,0,FALSE
"GSE134809","Myeloid","B_cell::CSM","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","B_cell::CSM","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","B_cell::CSM","Inflamed_minus_Control","Control","Inflamed",0,10,0,0,10,FALSE
"GSE134809","Myeloid","B_cell::CSM","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",10,10,0,10,10,TRUE
"GSE134809","Myeloid","B_cell::CSM","Stricture_minus_Inflamed","Inflamed","Stricture",10,0,0,10,0,FALSE
"GSE134809","Myeloid","B_cell::Centroblast B","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","B_cell::Centroblast B","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","B_cell::Centroblast B","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","Myeloid","B_cell::Centroblast B","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,1,0,0,1,FALSE
"GSE134809","Myeloid","B_cell::Centroblast B","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","Myeloid","B_cell::Centrocyte B","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","B_cell::Centrocyte B","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","B_cell::Centrocyte B","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","Myeloid","B_cell::Centrocyte B","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",1,1,0,1,1,TRUE
"GSE134809","Myeloid","B_cell::Centrocyte B","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","Myeloid","B_cell::DN2","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","B_cell::DN2","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","B_cell::DN2","Inflamed_minus_Control","Control","Inflamed",0,5,0,0,5,FALSE
"GSE134809","Myeloid","B_cell::DN2","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",1,5,0,1,5,TRUE
"GSE134809","Myeloid","B_cell::DN2","Stricture_minus_Inflamed","Inflamed","Stricture",5,0,0,5,0,FALSE
"GSE134809","Myeloid","B_cell::IgM-only","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","B_cell::IgM-only","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","B_cell::IgM-only","Inflamed_minus_Control","Control","Inflamed",0,3,0,0,3,FALSE
"GSE134809","Myeloid","B_cell::IgM-only","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,3,0,0,3,FALSE
"GSE134809","Myeloid","B_cell::IgM-only","Stricture_minus_Inflamed","Inflamed","Stricture",3,0,0,3,0,FALSE
"GSE134809","Myeloid","B_cell::MZ","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","B_cell::MZ","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","B_cell::MZ","Inflamed_minus_Control","Control","Inflamed",0,2,0,0,2,FALSE
"GSE134809","Myeloid","B_cell::MZ","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,2,0,0,2,FALSE
"GSE134809","Myeloid","B_cell::MZ","Stricture_minus_Inflamed","Inflamed","Stricture",2,0,0,2,0,FALSE
"GSE134809","Myeloid","B_cell::Naïve B","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","B_cell::Naïve B","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","B_cell::Naïve B","Inflamed_minus_Control","Control","Inflamed",0,9,0,0,9,FALSE
"GSE134809","Myeloid","B_cell::Naïve B","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",6,9,0,6,9,TRUE
"GSE134809","Myeloid","B_cell::Naïve B","Stricture_minus_Inflamed","Inflamed","Stricture",9,0,0,9,0,FALSE
"GSE134809","Myeloid","Plasma::Activated plasma","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","Plasma::Activated plasma","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","Plasma::Activated plasma","Inflamed_minus_Control","Control","Inflamed",0,9,0,0,9,FALSE
"GSE134809","Myeloid","Plasma::Activated plasma","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",8,9,0,8,9,TRUE
"GSE134809","Myeloid","Plasma::Activated plasma","Stricture_minus_Inflamed","Inflamed","Stricture",9,0,0,9,0,FALSE
"GSE134809","Myeloid","Plasma::IgA plasma","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","Plasma::IgA plasma","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","Plasma::IgA plasma","Inflamed_minus_Control","Control","Inflamed",0,11,0,0,11,FALSE
"GSE134809","Myeloid","Plasma::IgA plasma","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",10,11,0,10,11,TRUE
"GSE134809","Myeloid","Plasma::IgA plasma","Stricture_minus_Inflamed","Inflamed","Stricture",11,0,0,11,0,FALSE
"GSE134809","Myeloid","Plasma::IgG plasma","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","Plasma::IgG plasma","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","Plasma::IgG plasma","Inflamed_minus_Control","Control","Inflamed",0,8,0,0,8,FALSE
"GSE134809","Myeloid","Plasma::IgG plasma","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",3,8,0,3,8,TRUE
"GSE134809","Myeloid","Plasma::IgG plasma","Stricture_minus_Inflamed","Inflamed","Stricture",8,0,0,8,0,FALSE
"GSE134809","Myeloid","Plasma::Transitional B","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","Plasma::Transitional B","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","Myeloid","Plasma::Transitional B","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","Myeloid","Plasma::Transitional B","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,1,0,0,1,FALSE
"GSE134809","Myeloid","Plasma::Transitional B","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","T_NK","B_cell::ActB3","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","T_NK","B_cell::ActB3","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","T_NK","B_cell::ActB3","Inflamed_minus_Control","Control","Inflamed",0,5,0,0,5,FALSE
"GSE134809","T_NK","B_cell::ActB3","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,5,0,0,5,FALSE
"GSE134809","T_NK","B_cell::ActB3","Stricture_minus_Inflamed","Inflamed","Stricture",5,0,0,5,0,FALSE
"GSE134809","T_NK","B_cell::CSM","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","T_NK","B_cell::CSM","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","T_NK","B_cell::CSM","Inflamed_minus_Control","Control","Inflamed",0,10,0,0,10,FALSE
"GSE134809","T_NK","B_cell::CSM","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",10,10,0,10,10,TRUE
"GSE134809","T_NK","B_cell::CSM","Stricture_minus_Inflamed","Inflamed","Stricture",10,0,0,10,0,FALSE
"GSE134809","T_NK","B_cell::Centroblast B","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","T_NK","B_cell::Centroblast B","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","T_NK","B_cell::Centroblast B","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","T_NK","B_cell::Centroblast B","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,1,0,0,1,FALSE
"GSE134809","T_NK","B_cell::Centroblast B","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","T_NK","B_cell::Centrocyte B","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","T_NK","B_cell::Centrocyte B","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","T_NK","B_cell::Centrocyte B","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","T_NK","B_cell::Centrocyte B","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",1,1,0,1,1,TRUE
"GSE134809","T_NK","B_cell::Centrocyte B","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","T_NK","B_cell::DN2","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","T_NK","B_cell::DN2","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","T_NK","B_cell::DN2","Inflamed_minus_Control","Control","Inflamed",0,5,0,0,5,FALSE
"GSE134809","T_NK","B_cell::DN2","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",1,5,0,1,5,TRUE
"GSE134809","T_NK","B_cell::DN2","Stricture_minus_Inflamed","Inflamed","Stricture",5,0,0,5,0,FALSE
"GSE134809","T_NK","B_cell::IgM-only","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","T_NK","B_cell::IgM-only","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","T_NK","B_cell::IgM-only","Inflamed_minus_Control","Control","Inflamed",0,3,0,0,3,FALSE
"GSE134809","T_NK","B_cell::IgM-only","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,3,0,0,3,FALSE
"GSE134809","T_NK","B_cell::IgM-only","Stricture_minus_Inflamed","Inflamed","Stricture",3,0,0,3,0,FALSE
"GSE134809","T_NK","B_cell::MZ","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","T_NK","B_cell::MZ","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","T_NK","B_cell::MZ","Inflamed_minus_Control","Control","Inflamed",0,2,0,0,2,FALSE
"GSE134809","T_NK","B_cell::MZ","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,2,0,0,2,FALSE
"GSE134809","T_NK","B_cell::MZ","Stricture_minus_Inflamed","Inflamed","Stricture",2,0,0,2,0,FALSE
"GSE134809","T_NK","B_cell::Naïve B","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","T_NK","B_cell::Naïve B","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","T_NK","B_cell::Naïve B","Inflamed_minus_Control","Control","Inflamed",0,9,0,0,9,FALSE
"GSE134809","T_NK","B_cell::Naïve B","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",6,9,0,6,9,TRUE
"GSE134809","T_NK","B_cell::Naïve B","Stricture_minus_Inflamed","Inflamed","Stricture",9,0,0,9,0,FALSE
"GSE134809","T_NK","Plasma::Activated plasma","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","T_NK","Plasma::Activated plasma","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","T_NK","Plasma::Activated plasma","Inflamed_minus_Control","Control","Inflamed",0,9,0,0,9,FALSE
"GSE134809","T_NK","Plasma::Activated plasma","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",8,9,0,8,9,TRUE
"GSE134809","T_NK","Plasma::Activated plasma","Stricture_minus_Inflamed","Inflamed","Stricture",9,0,0,9,0,FALSE
"GSE134809","T_NK","Plasma::IgA plasma","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","T_NK","Plasma::IgA plasma","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","T_NK","Plasma::IgA plasma","Inflamed_minus_Control","Control","Inflamed",0,11,0,0,11,FALSE
