dataset,sender,receiver,contrast,reference,target,n_reference_donors,n_target_donors,n_paired_donors,n_reference_only,n_target_only,both_groups_present
"GSE134809","B_cell::CSM","Mast","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",5,3,0,5,3,TRUE
"GSE134809","B_cell::CSM","Mast","Stricture_minus_Inflamed","Inflamed","Stricture",3,0,0,3,0,FALSE
"GSE134809","B_cell::CSM","Mesenchymal_stromal","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::CSM","Mesenchymal_stromal","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::CSM","Mesenchymal_stromal","Inflamed_minus_Control","Control","Inflamed",0,10,0,0,10,FALSE
"GSE134809","B_cell::CSM","Mesenchymal_stromal","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",9,10,0,9,10,TRUE
"GSE134809","B_cell::CSM","Mesenchymal_stromal","Stricture_minus_Inflamed","Inflamed","Stricture",10,0,0,10,0,FALSE
"GSE134809","B_cell::CSM","Myeloid","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::CSM","Myeloid","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::CSM","Myeloid","Inflamed_minus_Control","Control","Inflamed",0,10,0,0,10,FALSE
"GSE134809","B_cell::CSM","Myeloid","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",10,10,0,10,10,TRUE
"GSE134809","B_cell::CSM","Myeloid","Stricture_minus_Inflamed","Inflamed","Stricture",10,0,0,10,0,FALSE
"GSE134809","B_cell::CSM","T_NK","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::CSM","T_NK","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::CSM","T_NK","Inflamed_minus_Control","Control","Inflamed",0,10,0,0,10,FALSE
"GSE134809","B_cell::CSM","T_NK","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",10,10,0,10,10,TRUE
"GSE134809","B_cell::CSM","T_NK","Stricture_minus_Inflamed","Inflamed","Stricture",10,0,0,10,0,FALSE
"GSE134809","B_cell::Centroblast B","Endothelial","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Centroblast B","Endothelial","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Centroblast B","Endothelial","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
