dataset,donor,donor_ID,status,tissue_sample_id,n_total_cells,n_tissue_samples_same_donor_status,sender,receiver,n_sender,n_receiver,count_eligible,reason,min_cells_required
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::Transitional B","Endothelial",4,95,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::Transitional B","Epithelial",4,2,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::Transitional B","Mast",4,13,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::Transitional B","Mesenchymal_stromal",4,447,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::Transitional B","Myeloid",4,214,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Plasma::Transitional B","T_NK",4,1259,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Endothelial","B_cell::ActB3",95,8,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Endothelial","B_cell::CSM",95,524,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Endothelial","B_cell::Centroblast B",95,10,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Endothelial","B_cell::Centrocyte B",95,0,FALSE,"absent_population",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Endothelial","B_cell::DN2",95,41,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Endothelial","B_cell::IgM-only",95,6,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Endothelial","B_cell::MZ",95,6,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Endothelial","B_cell::Naïve B",95,34,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Endothelial","Plasma::Activated plasma",95,6,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Endothelial","Plasma::IgA plasma",95,32,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Endothelial","Plasma::IgG plasma",95,506,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Endothelial","Plasma::Transitional B",95,4,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Epithelial","B_cell::ActB3",2,8,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Epithelial","B_cell::CSM",2,524,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Epithelial","B_cell::Centroblast B",2,10,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Epithelial","B_cell::Centrocyte B",2,0,FALSE,"absent_population",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Epithelial","B_cell::DN2",2,41,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Epithelial","B_cell::IgM-only",2,6,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Epithelial","B_cell::MZ",2,6,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Epithelial","B_cell::Naïve B",2,34,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Epithelial","Plasma::Activated plasma",2,6,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Epithelial","Plasma::IgA plasma",2,32,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Epithelial","Plasma::IgG plasma",2,506,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Epithelial","Plasma::Transitional B",2,4,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mast","B_cell::ActB3",13,8,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mast","B_cell::CSM",13,524,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mast","B_cell::Centroblast B",13,10,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mast","B_cell::Centrocyte B",13,0,FALSE,"absent_population",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mast","B_cell::DN2",13,41,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mast","B_cell::IgM-only",13,6,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mast","B_cell::MZ",13,6,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mast","B_cell::Naïve B",13,34,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mast","Plasma::Activated plasma",13,6,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mast","Plasma::IgA plasma",13,32,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mast","Plasma::IgG plasma",13,506,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mast","Plasma::Transitional B",13,4,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mesenchymal_stromal","B_cell::ActB3",447,8,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mesenchymal_stromal","B_cell::CSM",447,524,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mesenchymal_stromal","B_cell::Centroblast B",447,10,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mesenchymal_stromal","B_cell::Centrocyte B",447,0,FALSE,"absent_population",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mesenchymal_stromal","B_cell::DN2",447,41,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mesenchymal_stromal","B_cell::IgM-only",447,6,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mesenchymal_stromal","B_cell::MZ",447,6,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mesenchymal_stromal","B_cell::Naïve B",447,34,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mesenchymal_stromal","Plasma::Activated plasma",447,6,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mesenchymal_stromal","Plasma::IgA plasma",447,32,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mesenchymal_stromal","Plasma::IgG plasma",447,506,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Mesenchymal_stromal","Plasma::Transitional B",447,4,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Myeloid","B_cell::ActB3",214,8,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Myeloid","B_cell::CSM",214,524,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Myeloid","B_cell::Centroblast B",214,10,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Myeloid","B_cell::Centrocyte B",214,0,FALSE,"absent_population",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Myeloid","B_cell::DN2",214,41,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Myeloid","B_cell::IgM-only",214,6,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Myeloid","B_cell::MZ",214,6,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Myeloid","B_cell::Naïve B",214,34,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Myeloid","Plasma::Activated plasma",214,6,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Myeloid","Plasma::IgA plasma",214,32,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Myeloid","Plasma::IgG plasma",214,506,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"Myeloid","Plasma::Transitional B",214,4,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"T_NK","B_cell::ActB3",1259,8,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"T_NK","B_cell::CSM",1259,524,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"T_NK","B_cell::Centroblast B",1259,10,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"T_NK","B_cell::Centrocyte B",1259,0,FALSE,"absent_population",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"T_NK","B_cell::DN2",1259,41,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"T_NK","B_cell::IgM-only",1259,6,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"T_NK","B_cell::MZ",1259,6,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"T_NK","B_cell::Naïve B",1259,34,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"T_NK","Plasma::Activated plasma",1259,6,FALSE,"low_cell_count",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"T_NK","Plasma::IgA plasma",1259,32,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"T_NK","Plasma::IgG plasma",1259,506,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972009","GSE134809::GSM3972009","Inflamed","GSE134809::GSM3972009::Inflamed",3207,1,"T_NK","Plasma::Transitional B",1259,4,FALSE,"low_cell_count",20
"GSE134809","GSM3972010","GSE134809::GSM3972010","Non-inflamed","GSE134809::GSM3972010::Non-inflamed",6949,1,"B_cell::ActB3","Endothelial",3,52,FALSE,"low_cell_count",20
